n,segundos
2,0.000000090
4,0.000000070
8,0.000000111
16,0.000000300
32,0.000000651
64,0.000001353
128,0.000003116
256,0.000006523
512,0.000013666
1024,0.000029395
2048,0.000064190
4096,0.000137446
8192,0.000292677
16384,0.000630798
32768,0.001292354
65536,0.002807304
131072,0.005913627
262144,0.012293033
524288,0.026950273
1048576,0.055287686
2097152,0.114650774
4194304,0.238225618
8388608,0.504469160
16777216,1.039287692
33554432,2.178605052
